basin_id,area,srftopo,slope_avg,wcap,wava,fveg,lai,p_mean,pet_mean,aridity,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
4060108480_0,2383.4,740.9603214,0.029663385,303.1747322,165.0528283,0.322932381,1.72304812,1.544219067,7.75986173,5.025104206,0.517424401,20.15,1.355218855,267.475,5.830517711
4060109820_0,2196.0,850.8985558,0.028786606,319.2214394,171.506474,0.303926844,1.780270054,1.729859744,6.705137364,3.876116194,0.528581412,19.3,1.347902098,260.5,5.498680739
4060109910_0,5311.9,854.0642573,0.027897008,359.5650469,191.9455961,0.301985495,1.670308224,1.743210323,6.902171595,3.959460028,0.524921575,19.175,1.351590106,259.925,5.556921432
4060110370_0,15771.4,845.2284097,0.02647128,402.1923175,213.833399,0.321177686,1.626978559,1.65025152,5.673381618,3.437889042,0.522088353,18.55,1.349726776,258.95,5.587378641
4060111150_0,5897.6,443.6630509,0.01658306,269.4376157,149.263583,0.312282891,1.574614733,1.572737027,11.70421314,7.441939077,0.481419156,21.275,1.362179487,273.0,6.215139442
4060111270_0,3921.1,455.3591896,0.016316097,229.3468464,131.4403057,0.342676724,1.505608506,1.706159539,11.56794313,6.780106356,0.483739265,20.85,1.374587459,269.05,5.998885173
4060113050_0,1802.1,396.2802658,0.013222324,263.1635528,148.3767807,0.344637357,1.468144517,1.665778547,11.88030756,7.131984967,0.471438696,21.35,1.3648,272.2,6.130630631
4060136410_0,15787.9,818.9218603,0.021179147,580.1298218,303.4393097,0.328868203,1.353448486,1.539877057,4.696743972,3.050077245,0.498856153,19.225,1.384476534,265.975,5.917130145
4060152570_0,20438.3,820.4843304,0.017135203,567.3653734,296.37457,0.294609971,1.208592553,1.536972278,4.299865111,2.797620472,0.487150993,18.65,1.33572711,265.85,5.881637168
4060153390_0,4936.4,718.5931692,0.011933045,507.3877169,263.7717289,0.221842034,1.007755694,1.32898782,4.239913086,3.190332539,0.474107768,20.25,1.352842809,280.275,6.435706085
4060154700_0,19699.5,610.2054423,0.019707917,453.0983497,241.4614101,0.347534089,1.417381734,1.759227542,9.291156328,5.281384076,0.47489409,20.05,1.426024955,264.775,6.045091324
4060154710_0,41359.2,434.0638293,0.013505109,465.9138909,247.2549734,0.334384284,1.384718415,1.742048667,9.641343673,5.534485835,0.464035514,20.075,1.330016584,261.275,5.887887324
4060157440_0,10735.9,927.9410837,0.017042895,656.6221944,340.4303978,0.300139022,1.236525895,1.513258642,4.139897596,2.735750176,0.485624564,18.9,1.273648649,263.525,5.427909372
4060172840_0,3382.0,905.1032257,0.012296685,646.6968994,334.8145897,0.292223155,1.286074806,1.494756516,4.621752088,3.091976546,0.483323991,19.575,1.304347826,266.325,5.396656535
4060175950_0,25740.6,612.6702093,0.019558074,428.8983378,228.8055705,0.349276456,1.441345962,1.73610471,11.62698776,6.697169638,0.464047751,20.2,1.425795053,267.3,6.223515716
4060175960_0,20672.1,297.2932416,0.006564268,625.5089299,323.9356854,0.346303622,1.378065076,1.767415161,8.00595934,4.529755948,0.433272905,22.025,1.337899543,265.575,5.991539763
4060180330_0,4530.8,290.5739781,0.005274687,655.9382502,339.7839365,0.353466806,1.340751262,1.86505502,6.536545362,3.504746665,0.427785614,22.55,1.319180088,269.05,5.864850136
4060180500_0,1213.8,251.5289586,0.004810234,810.42394,409.4623871,0.469775575,1.623376373,1.755824851,3.924719037,2.235256572,0.421920743,22.875,1.348082596,276.7,6.214486244
4060186170_0,1912.3,209.5342903,0.002812868,803.5919189,410.730835,0.396188413,1.375471974,1.589024989,4.567747821,2.874560093,0.413172794,22.175,1.359447005,283.775,6.740498812
4060186180_0,3951.7,234.4600601,0.003928225,811.1216634,413.860068,0.417463119,1.42265189,1.633723758,5.012967997,3.068430616,0.41642979,22.65,1.365007541,279.95,6.465357968
4060197470_0,4626.2,132.3453011,0.006952036,523.5604177,270.4388571,0.33268992,1.553038252,1.890437277,6.063630106,3.207527793,0.409972687,20.25,1.266875981,261.125,5.26727181
4060197600_0,2686.2,142.9438493,0.007736216,546.7570229,280.7398109,0.338743645,1.368056811,1.885949201,6.15353386,3.262831182,0.402676056,19.425,1.248387097,259.575,5.150297619
4060199150_0,4501.5,286.0054945,0.017535065,387.2047585,206.2913635,0.354248252,1.610411053,2.037290501,9.61819982,4.721074296,0.425369475,20.1,1.293075684,254.425,5.035625928
4060199310_0,5360.6,191.1878883,0.012127203,553.8940063,284.073481,0.362678878,1.623694527,1.829202143,6.621276289,3.619761935,0.406766601,19.5,1.257281553,261.85,5.237
4060205640_0,19445.4,506.4103443,0.017519555,434.1958477,228.1514496,0.350341482,1.496045328,1.59061634,11.09005616,6.972175426,0.431864217,21.25,1.44047619,279.325,7.040327662
4060205650_0,17447.4,332.2574505,0.010445585,562.2422974,290.0894349,0.353938827,1.473995711,1.550882771,7.256879502,4.679192805,0.415650834,21.975,1.412238325,282.5,7.179161372
4060209040_0,10257.2,179.2558282,0.00186239,768.7171441,390.4632738,0.410151351,1.455991416,1.543923009,4.319043457,2.797447432,0.400353982,22.275,1.348484848,282.9,6.804570054
4060209190_0,3654.0,150.1549007,0.000602664,734.1425543,373.8901984,0.348499062,1.42580907,1.423665263,4.722387621,3.317063178,0.393446149,23.275,1.368188513,290.675,7.434143223
4060209330_0,17532.6,623.7859508,0.019235816,489.7246144,255.5892421,0.341230911,1.456788813,1.553025895,8.666085971,5.580129734,0.447882623,21.0,1.427597956,275.075,6.692822384
4060213920_0,20698.2,431.7015822,0.02382973,302.3364129,165.953539,0.36345109,1.637274342,2.056263357,10.60132134,5.155624302,0.444452164,18.225,1.270506108,241.825,4.748649975
4060214110_0,2945.5,364.4044563,0.029671633,465.0673409,238.2254761,0.377131439,1.748731624,2.103516788,9.724212386,4.622835645,0.42900154,18.125,1.270175439,247.825,4.909856365
4060224160_0,10971.9,251.8826624,0.014758264,526.3955657,270.2761524,0.367473166,1.477499957,1.914765083,5.812425385,3.03558146,0.40569395,18.55,1.219471947,251.425,4.849083896
4060225200_0,4219.8,290.3467441,0.022860779,485.6372876,249.6508753,0.374830931,1.697967804,2.079057534,9.571432472,4.60373622,0.408149027,17.975,1.24738676,246.7,4.648139425
4060225210_0,1842.3,202.4612878,0.013745833,611.7300669,311.5113093,0.387057503,1.502735688,1.903727215,7.886270209,4.14254214,0.402175439,18.775,1.283018868,256.5,4.942196532
4060232550_0,3064.3,105.5514824,0.006261557,576.4595276,294.297966,0.317676762,1.642220426,2.025801922,4.921343069,2.429330832,0.398725312,19.7,1.265273312,256.975,4.960907336
4060237430_0,14181.2,214.9814278,0.011623816,637.5434676,324.5222807,0.44027905,1.72587493,2.153571863,7.466440856,3.467003347,0.400990099,20.0,1.297077922,253.05,5.138071066
4060237570_0,10830.6,339.8098893,0.019781969,513.6036087,264.0985947,0.376029873,1.710063367,2.283731319,8.896029228,3.895392226,0.405471252,17.525,1.228873239,234.775,4.175633615
4060239010_0,31058.8,249.1640332,0.008058239,621.2669176,318.6493127,0.438213536,1.597619188,2.00152556,7.16106902,3.577805431,0.414835929,20.775,1.307086614,256.675,5.423666138
4060239440_0,5324.4,157.2943621,0.002127328,757.7361313,381.3216274,0.472988003,1.608883863,1.642235651,4.004168562,2.438242379,0.39071718,21.875,1.316742081,279.8,6.564222874
4060239850_0,8316.3,175.3764167,0.004897022,776.7685249,390.6881833,0.511254177,1.788173212,1.906370053,6.354203194,3.333142579,0.388587531,20.6,1.291993721,264.225,5.682258065
4060240740_0,9237.7,462.8787663,0.028062408,520.5391116,267.8095971,0.389960312,1.691536082,2.119396768,8.266463081,3.900384867,0.420068145,17.075,1.205309735,236.95,4.286748078
4060240750_0,4066.0,370.0562286,0.021305338,494.2655125,254.0898848,0.370501764,1.553429513,1.891814509,8.234346497,4.352618324,0.414257648,18.05,1.220338983,252.05,4.791825095
4060244890_0,9305.1,222.3134038,0.00471023,556.4869553,282.7676876,0.272576008,1.420918625,1.316151396,4.98177546,3.785108215,0.379750466,21.975,1.373040752,296.325,8.101845523
4060244900_0,5143.9,138.9817166,0.000878101,672.0288499,339.5283594,0.329505102,1.545446712,1.330229548,4.660370784,3.503433517,0.377952189,22.5,1.354449472,295.7,7.895861148
4060245070_0,1132.3,131.0841624,0.000673117,731.093099,368.5369466,0.340103902,1.63040489,1.274992749,4.368740805,3.426482863,0.369075655,22.375,1.33632287,299.15,7.972018654
4060246920_0,1426.4,163.043252,0.001558666,643.952673,325.0075026,0.313836097,1.492351529,1.240848844,5.643752926,4.548300105,0.368726578,22.025,1.337386018,301.875,8.344851417
4060247070_0,8805.8,155.3477206,0.001351693,728.9941126,368.3279463,0.379037343,1.511787423,1.496654589,4.026747679,2.690499002,0.387460149,22.1,1.325825826,284.175,7.008014797
