date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,surface_pressure,surface_solar_radiation_downwards_sum,u_component_of_wind_10m,v_component_of_wind_10m,runoff_sum_v
2010-05-14,0.0040175833557548,0.0006263309650553,-7.345364722995101e-24,0.0,6.089935858435721e-09,-262.0809103320435,0.0018364737994769,0.0014085595132993,0.3776717599542263,0.3697097783321295,0.3696889740450325,0.3821117422443027,84251.50113275318,10302510.456013247,-0.6233882357399221,0.7452890229983531,0.548188888888889
2010-05-15,0.0020103983008893,0.0008482895166921,-7.345364722995101e-24,0.0,8.127625697741373e-10,-262.34407245183536,0.0013464176672628,0.0058639266523755,0.3880345135884016,0.3756774522532244,0.3697318443146205,0.3820243738851282,83914.19989455442,6380334.911405504,-0.6891687712066951,0.8516138892633399,0.40545
2010-05-16,0.0011863370729242,0.0006491553706921,-7.345364722995101e-24,0.0,0.0,-262.2209758461382,0.0009250027911987,0.0022916207850682,0.3904228692122853,0.3826912026684008,0.3707290576504993,0.3819582246972406,84071.16582796707,4299637.865038293,-0.0780930751797773,-0.2014854638577987,1.267677777777778
2010-05-17,0.0047887459048768,0.0008189899427035,0.0001010725005174,4.6697187851832976e-05,4.772867994312419e-06,-263.3131033324458,0.0026192412721511,0.0063521433369033,0.3953113197285072,0.3849491972052382,0.3714214598820797,0.381876205547514,84236.55771613742,10947035.87249017,-0.1101435808005938,-1.1878665386828489,0.3842222222222222
2010-05-18,0.0086260862529734,0.0005679497669952,0.0001016536673954,0.0,2.301232883511209e-05,-261.2278645249272,0.0034970110666898,0.0002920275437438,0.3836391155890679,0.3864621567954797,0.3716290510853139,0.3817328438784841,84266.10230828026,20547424.09501138,0.1742985598469985,-0.3066383748208152,0.3967666666666667
2010-05-19,0.0112484058616225,0.0005548387037945,8.515358168598632e-06,0.0,1.4390503011043951e-05,-258.60121523649775,0.0041601284385102,2.445322091231227e-07,0.3658696900224747,0.3764830706883338,0.3708199480836258,0.3815427066984855,84103.97385267884,25697996.3881184,-0.2870161541745519,0.8135082279518012,0.3834222222222221
2010-05-20,0.0030016942021825,0.0007757605389886,-7.345364722995101e-24,0.0,3.2935745719549592e-06,-261.39850106449563,0.0011241802077449,0.0053745427182928,0.3770871520708668,0.3723099998153532,0.3702754479531115,0.3814274475933609,84075.41926318551,6101252.567170358,-0.0981111854843279,-0.0716312318775032,0.6206777777777778
2010-05-21,0.0037905043713968,0.0005690437377029,-7.345364722995101e-24,0.0,9.239479495338512e-07,-261.13776068708836,0.0017949020763027,0.0005188942596685,0.3827896772898033,0.3782883179341588,0.3701926578623589,0.3813380397543158,84126.0407674583,9238974.81929207,0.2240015126110348,-0.9927566038487178,0.4970333333333334
2010-05-22,0.0104843134361625,0.0005492359072839,-7.345364722995101e-24,0.0,3.5657605826793015e-07,-257.2501844175952,0.0043023079271285,8.967390047533749e-05,0.3626237964149768,0.3716332801403502,0.3691632027936295,0.3811497928143239,83889.54747594339,26842398.40115918,0.1748703242187247,0.0304270981837526,0.3893777777777777
2010-05-23,0.0110083135514618,0.0005422547518207,-7.345364722995101e-24,0.0,5.8272917111254064e-08,-255.15511553714407,0.0044912075615387,5.113492447811565e-05,0.3466897978427649,0.3616246251942149,0.3673894089019905,0.380916673895456,83834.12961166867,28121219.50817636,0.2670754457880545,0.9266859449511492,0.3973833333333333
2010-05-24,0.0106430839630751,0.0005397200383919,-7.345364722995101e-24,0.0,4.325994322991375e-09,-254.67322173161034,0.004202931655636,9.523993336118294e-05,0.3344218959425378,0.3522100820392009,0.365432050767205,0.3806795508999891,83783.82144063755,25108097.33678326,-0.7082351512694419,1.5296872733896636,0.3711
2010-05-25,0.0096708821895033,0.0010255345802108,-7.345364722995101e-24,0.0,1.5619075759748715e-09,-254.0846975595669,0.0036477891251535,0.0084741028001455,0.3386411795842837,0.3450126501209845,0.363508214090524,0.3804530418331245,83713.5695134545,19519847.573587243,-0.9857404715837356,1.5958929017802028,0.3695611111111112
2010-05-26,0.0022887641949958,0.0012083977562649,-7.345364722995101e-24,0.0,0.0,-260.4082804836547,0.0018521567174859,0.0130883280641353,0.40685812691465,0.3790248635145379,0.3633771603015164,0.3803301275389242,84144.61518016644,5821097.774787827,0.0227561579031586,-1.1410075918468208,4.54405
2010-05-27,0.0083078388668345,0.0005336284477057,-7.345364722995101e-24,0.0,1.9239493468562355e-10,-258.2087757709925,0.0037709474669627,0.0001904177735987,0.387627319726014,0.3877104840350678,0.3644516250735637,0.3801600539741049,84263.86326160825,21921596.08279859,-0.5259262137076446,-0.28010267590519,1.2080166666666667
2010-05-28,0.0077861749450073,0.0005231857827252,-7.345364722995101e-24,0.0,2.456023514924693e-10,-257.19326873062835,0.0032647195663684,4.453390182306877e-05,0.3692786108096061,0.3776690618580421,0.364439697268257,0.3799585612723523,84324.7331672173,20397394.54481473,-0.2838315264265506,0.5961376741659088,0.3666277777777777
2010-05-29,0.0094772471719167,0.0005312324190233,-7.345364722995101e-24,0.0,1.2048780979811095e-09,-255.44863364447946,0.0040464507105706,0.0004440564331925,0.3562385245467749,0.3676683941399392,0.3634326408789993,0.3797355974418878,84184.32051104003,24846651.92465328,-0.0017253795716692,0.5163306302513665,0.3948111111111111
2010-05-30,0.0072861732323207,0.0015268447766316,-7.345364722995101e-24,0.0,0.0,-256.0117451296858,0.0035994418991582,0.0177211950260693,0.3934818908869336,0.3754344665921105,0.3626373954698723,0.3795399311486546,84174.02389913177,19567126.213206373,-0.5997594895096683,-0.4625625148747662,0.3719222222222222
